AN,Quantity,Designator,Comment,Description,Case,Value,Footprint,Revision,Variant,Trenz-Stock,Mixed,Preferred,Technology,Tolerance,Trenz-Article-Number,Voltage,H-ART,Temperature-Range,Storage-Temperature
"23125","1","R69","5K1","WID SMD 5K1 1% 0,063W BF 1005 (0402)","1005 (0402)","5.1K","RESC1005X40N","02","08-C8B","","SMT","","TK100","1%","","","","",""
"28549","2","S1, S2","KMS221GPLFS","KMS221GPLFS","","","KMS2xxGPLFS","02","08-C8B","","SMT","","","","","","KMS221GPLFS","",""
"26289","7","TP1, TP2, TP6, TP7, TP8, TP9, TP10","Testpoint 0.8mm","Testpoint 0.8mm","","","TP_0.8mm","02","08-C8B","","MECH","","","","","","","",""
"27930","1","U1","10M08SAU169C8G","10M08SAU169C8G","LFBGA169","","BGA169C80P13X13_11X11X15","02","08-C8B","","SMT","","","","","","10M08SAU169C8G","0/+85 (Tj)","-65/+150(Abs)"
"28045","1","U2","W9864G6JT-6","W9864G6JT-6","TFBGA54","","BGA54C80P9X9_800X800X120","02","08-C8B","","SMT","","","","","","W9864G6JT-6","",""
"27277","1","U3","FT2232H-56Q","FT2232H-56Q","VQFN56","","QFN50P800X800-57T610X610N","02","08-C8B","Yes","SMT","Yes","","","","","FT2232H-56Q","-40/+85","-65/+150(Abs)"
"24611","1","U4","ADP7102ACPZ","ADP7102ACPZ-R7","DFN8","","SON50P300X300X80-9N","02","08-C8B","Yes","SMT","","","","","","ADP7102ACPZ-R7","",""
"29487","1","U6","ADAQ7988BCCZ","ADAQ7988BCCZ","FLGA24","","PQFN50P400X500X208-24N","02","08-C8B","","SMT","","","","","","ADAQ7988BCCZ","-55/+125","-65/+150(Abs)"
"28002","1","U7","DSC6011ME2A-012.0000T","DSC6011ME2A-012.0000T","2.0 mm x 1.6 mm","12M","2016","02","08-C8B","","SMT","","","","","","DSC6011ME2A-012.0000T","",""
"28288","1","U8","ADR4550BRZ","ADR4550BRZ","SO8","","SOIC127P600X175-8N","02","08-C8B","","SMT","","","","","5V","ADR4550BRZ","",""
"27997","1","U9","M93C66-RMC6TG","M93C66-RMC6TG","UFDFPN8","","UFDFPN8","02","08-C8B","Yes","SMT","Yes","","","","","M93C66-RMC6TG","-40/+85",""
"24666","1","U10","LT3032EDE#PBF","LT3032EDE#PBF","DFN14LT","","SON50P400X300X80-14N-LT","02","08-C8B","Yes","SMT","","","","","","LT3032EDE#PBF","",""
"29486","1","U11","LT3471EDD#PBF","LT3471EDD#PBF","WFDFN10","","SON50P300X300X80-11T164","02","08-C8B","Yes","SMT","","","","","","LT3471EDD#PBF","-40/+85","-65/+125(Abs)"
"24587","1","U12","AD8251ARMZ","AD8251ARMZ","MSOP10","","SOP50P490X110-10N","02","08-C8B","Yes","SMT","","","","","","AD8251ARMZ","",""
"28212","1","U13","ADP7182ACPZ-R7","ADP7182ACPZ-R7","DFN8","","SON50P300X300X80-9N","02","08-C8B","","SMT","","","","","","ADP7182ACPZ-R7","",""
"27881","1","U16","ADP7118ACPZN-R7","ADP7118ACPZN-R7","DFN8","","SON65P200X200X60-7T10X16","02","08-C8B","","SMT","","","","","","ADP7118ACPZN-R7","",""
"29703","1","U17","TPS2121RUXR","TPS2121RUXR","QFN12","","QFNP50P200X250X100-12N","02","08-C8B","","SMT","","","","","","TPS2121RUXR","-40/+125 (Tj)","-65/+150(Abs)"
"29689","1","U18","74LVC1G79GW,125","74LVC1G79GW,125","SC70-5","","SOT65P210X110-5N","02","08-C8B","","SMT","","","","","","74LVC1G79GW,125","-40/+125","-65/+150(Abs)"
"25961","1","U19","SiT8008BI-73-XXS-100.000000E","SiT8008BI-73-XXS-100.000000E MEMS Oszillator 100MHz","2.0  x 1.6mm","100M","2016","02","08-C8B","Yes","SMT","Yes","","","","","SiT8008BI-73-XXS-100.000000E","",""
