AN,Quantity,Designator,Comment,Description,Case,Value,Footprint,Revision,Variant,Trenz-Stock,Mixed,Preferred,Technology,Tolerance,Trenz-Article-Number,Voltage,H-ART,Temperature-Range,Storage-Temperature
"26460","1","R58","20K","WID SMD 20K 1% 0,063W BF 1005 (0402)","1005 (0402)","20K","RESC1005X40N","01","08-C8A","","SMT","Yes","TK100","1%","","","","",""
"22756","1","R59","16K","WID SMD 16K 1% 0,063W BF 1005 (0402)","1005 (0402)","16K","RESC1005X40N","01","08-C8A","","SMT","","TK100","1%","","","","",""
"29582","1","R60","232K","WID SMD 232K 1% 0,063W BF 1005 (0402)","1005 (0402)","232K","RESC1005X40N","01","08-C8A","","SMT","","TK100","1%","","0.063W","","",""
"25954","1","R61","75K","WID SMD 75K 1% 0,063W BF 1005 (0402)","1005 (0402)","75K","RESC1005X40N","01","08-C8A","","SMT","Yes","TK100","1%","","","","",""
"22745","1","R62","20K5","WID SMD 20K5 1% 0,063W BF 1005 (0402)","1005 (0402)","20.5K","RESC1005X40N","01","08-C8A","","SMT","Yes","TK100","1%","","","","",""
"28549","2","S1, S2","KMS221GPLFS","KMS221GPLFS","","","KMS2xxGPLFS","01","08-C8A","","SMT","","","","","","KMS221GPLFS","",""
"26289","7","TP1, TP2, TP6, TP7, TP8, TP9, TP10","Testpoint 0.8mm","Testpoint 0.8mm","","","TP_0.8mm","01","08-C8A","","MECH","","","","","","","",""
"27930","1","U1","10M08SAU169C8G","10M08SAU169C8G","LFBGA169","","BGA169C80P13X13_11X11X15","01","08-C8A","","SMT","","","","","","10M08SAU169C8G","0/+85 (Tj)","-65/+150(Abs)"
"28045","1","U2","W9864G6JT-6","W9864G6JT-6","TFBGA54","","BGA54C80P9X9_800X800X120","01","08-C8A","","SMT","","","","","","W9864G6JT-6","",""
"27277","1","U3","FT2232H-56Q","FT2232H-56Q","VQFN56","","QFN50P800X800-57T610X610N","01","08-C8A","Yes","SMT","Yes","","","","","FT2232H-56Q","-40/+85","-65/+150(Abs)"
"24611","1","U4","ADP7102ACPZ","ADP7102ACPZ-R7","DFN8","","SON50P300X300X80-9N","01","08-C8A","Yes","SMT","","","","","","ADP7102ACPZ-R7","",""
